0.663233 0.148268
0.687319 0.145951
0.688496 0.143634
0.669753 0.141318
0.664035 0.139001
0.670899 0.136684
0.674088 0.134368
0.673525 0.132051
0.667584 0.129734
0.671113 0.127418
0.658005 0.125101
0.660869 0.122784
0.673273 0.120468
0.673589 0.118151
0.667202 0.115834
0.669697 0.113517
0.654379 0.111201
0.648626 0.108884
0.661408 0.106567
0.675219 0.104251
0.674471 0.101934
0.663076 0.099617
0.654509 0.097301
0.669827 0.094984
0.666847 0.092667
0.626497 0.090351
0.530441 0.088034
0.477573 0.085717
0.533466 0.083401
0.626250 0.081084
0.656229 0.078767
0.659996 0.076451
0.669085 0.074134
0.664914 0.071817
0.669473 0.069500
0.680538 0.067184
0.670582 0.064867
0.665119 0.062550
0.683171 0.060234
0.684518 0.057917
0.691845 0.055600
0.693090 0.053284
0.690948 0.050967
0.690829 0.048650
0.681865 0.046334
0.674839 0.044017
0.675128 0.041700
0.677082 0.039384
0.687065 0.037067
0.683200 0.034750
0.683740 0.032434
0.698191 0.030117
0.697596 0.027800
0.685542 0.025484
0.685790 0.023167
0.690828 0.020850
0.690503 0.018533
0.702347 0.016217
0.712100 0.013900
0.701808 0.011583
0.702686 0.009267
0.720581 0.006950
0.708541 0.004633
0.696959 0.002317
0.662113 0.000000
